"日付","銘柄名","コード","業種","JPX日経400に占める個別銘柄のウェイト"
"2022/08/31","エフピコ","7947","化学","0.0331%"
"2022/08/31","ヤマハ","7951","その他製品","0.1743%"
"2022/08/31","ピジョン","7956","その他製品","0.0605%"
"2022/08/31","任天堂","7974","その他製品","1.3901%"
"2022/08/31","ニフコ","7988","化学","0.0579%"
"2022/08/31","伊藤忠商事","8001","卸売業","1.2454%"
"2022/08/31","丸紅","8002","卸売業","0.6799%"
"2022/08/31","豊田通商","8015","卸売業","0.2367%"
"2022/08/31","兼松","8020","卸売業","0.0283%"
"2022/08/31","三井物産","8031","卸売業","1.2797%"
"2022/08/31","東京エレクトロン","8035","電気機器","1.4268%"
"2022/08/31","住友商事","8053","卸売業","0.6285%"
"2022/08/31","ＢＩＰＲＯＧＹ","8056","情報・通信業","0.0521%"
"2022/08/31","三菱商事","8058","卸売業","1.6177%"
"2022/08/31","阪和興業","8078","卸売業","0.0324%"
"2022/08/31","岩谷産業","8088","卸売業","0.0683%"
"2022/08/31","ゴールドウイン","8111","繊維製品","0.0741%"
"2022/08/31","ユニ・チャーム","8113","化学","0.4619%"
"2022/08/31","日本瓦斯","8174","小売業","0.0574%"
"2022/08/31","ライフコーポレーション","8194","小売業","0.0110%"
"2022/08/31","丸井グループ","8252","小売業","0.0981%"
"2022/08/31","イズミ","8273","小売業","0.0257%"
"2022/08/31","ヤオコー","8279","小売業","0.0396%"
"2022/08/31","ケーズホールディングス","8282","小売業","0.0591%"
"2022/08/31","ＰＡＬＴＡＣ","8283","卸売業","0.0305%"
"2022/08/31","新生銀行","8303","銀行業","0.0692%"
"2022/08/31","あおぞら銀行","8304","銀行業","0.0813%"
"2022/08/31","三菱ＵＦＪフィナンシャル・グループ","8306","銀行業","1.4150%"
"2022/08/31","りそなホールディングス","8308","銀行業","0.2934%"
"2022/08/31","三井住友トラスト・ホールディングス","8309","銀行業","0.3882%"
"2022/08/31","三井住友フィナンシャルグループ","8316","銀行業","1.4733%"
"2022/08/31","千葉銀行","8331","銀行業","0.1150%"
"2022/08/31","ふくおかフィナンシャルグループ","8354","銀行業","0.0972%"
"2022/08/31","セブン銀行","8410","銀行業","0.0424%"
"2022/08/31","みずほフィナンシャルグループ","8411","銀行業","1.0342%"
"2022/08/31","芙蓉総合リース","8424","その他金融業","0.0383%"
"2022/08/31","みずほリース","8425","その他金融業","0.0225%"
"2022/08/31","東京センチュリー","8439","その他金融業","0.0419%"
"2022/08/31","イオンフィナンシャルサービス","8570","その他金融業","0.0423%"
"2022/08/31","アコム","8572","その他金融業","0.0355%"
"2022/08/31","オリエントコーポレーション","8585","その他金融業","0.0179%"
"2022/08/31","オリックス","8591","その他金融業","0.7384%"
"2022/08/31","三菱ＨＣキャピタル","8593","その他金融業","0.1183%"
"2022/08/31","ジャフコグループ","8595","証券、商品先物取引業","0.0379%"
"2022/08/31","大和証券グループ本社","8601","証券、商品先物取引業","0.2116%"
"2022/08/31","野村ホールディングス","8604","証券、商品先物取引業","0.4164%"
"2022/08/31","ＳＯＭＰＯホールディングス","8630","保険業","0.4601%"
"2022/08/31","日本取引所グループ","8697","その他金融業","0.2629%"
"2022/08/31","マネックスグループ","8698","証券、商品先物取引業","0.0229%"
"2022/08/31","ＭＳ＆ＡＤインシュアランスグループホールディングス","8725","保険業","0.4630%"
"2022/08/31","第一生命ホールディングス","8750","保険業","0.6345%"
"2022/08/31","東京海上ホールディングス","8766","保険業","1.1738%"
"2022/08/31","Ｔ＆Ｄホールディングス","8795","保険業","0.1832%"
"2022/08/31","三井不動産","8801","不動産業","0.5964%"
"2022/08/31","三菱地所","8802","不動産業","0.5795%"
"2022/08/31","東京建物","8804","不動産業","0.0896%"
"2022/08/31","住友不動産","8830","不動産業","0.3329%"
"2022/08/31","スターツコーポレーション","8850","不動産業","0.0198%"
"2022/08/31","リログループ","8876","サービス業","0.0646%"
"2022/08/31","日本エスコン","8892","不動産業","0.0081%"
"2022/08/31","イオンモール","8905","不動産業","0.0452%"
"2022/08/31","カチタス","8919","不動産業","0.0452%"
"2022/08/31","東海旅客鉄道","9022","陸運業","0.6350%"
"2022/08/31","ヤマトホールディングス","9064","陸運業","0.1552%"
"2022/08/31","山九","9065","陸運業","0.0542%"
"2022/08/31","センコーグループホールディングス","9069","陸運業","0.0230%"
"2022/08/31","日立物流","9086","陸運業","0.0881%"
"2022/08/31","丸和運輸機関","9090","陸運業","0.0148%"
"2022/08/31","日本郵船","9101","海運業","0.4647%"
"2022/08/31","商船三井","9104","海運業","0.2930%"
"2022/08/31","川崎汽船","9107","海運業","0.1421%"
"2022/08/31","ＳＧホールディングス","9143","陸運業","0.2024%"
"2022/08/31","ＮＩＰＰＯＮＥＸＰＲＥＳＳホールディングス","9147","陸運業","0.1306%"
"2022/08/31","三井倉庫ホールディングス","9302","倉庫・運輸関連業","0.0172%"
"2022/08/31","ＵＳＥＮ－ＮＥＸＴＨＯＬＤＩＮＧＳ","9418","情報・通信業","0.0087%"
"2022/08/31","日本電信電話","9432","情報・通信業","1.3846%"
"2022/08/31","ＫＤＤＩ","9433","情報・通信業","1.4273%"
"2022/08/31","ソフトバンク","9434","情報・通信業","1.2477%"
"2022/08/31","光通信","9435","情報・通信業","0.1096%"
"2022/08/31","ＧＭＯインターネット","9449","情報・通信業","0.0441%"
"2022/08/31","中部電力","9502","電気・ガス業","0.2192%"
"2022/08/31","関西電力","9503","電気・ガス業","0.2584%"
"2022/08/31","九州電力","9508","電気・ガス業","0.0878%"
"2022/08/31","北海道電力","9509","電気・ガス業","0.0244%"
"2022/08/31","電源開発","9513","電気・ガス業","0.0869%"
"2022/08/31","イーレックス","9517","電気・ガス業","0.0199%"
"2022/08/31","レノバ","9519","電気・ガス業","0.0328%"
"2022/08/31","東京瓦斯","9531","電気・ガス業","0.2552%"
"2022/08/31","大阪瓦斯","9532","電気・ガス業","0.2164%"
"2022/08/31","東宝","9602","情報・通信業","0.1687%"
"2022/08/31","エヌ・ティ・ティ・データ","9613","情報・通信業","0.2831%"
"2022/08/31","ＤＴＳ","9682","情報・通信業","0.0361%"
"2022/08/31","スクウェア・エニックス・ホールディングス","9684","情報・通信業","0.1521%"
"2022/08/31","カプコン","9697","情報・通信業","0.1903%"
"2022/08/31","トランス・コスモス","9715","サービス業","0.0257%"
"2022/08/31","ＳＣＳＫ","9719","情報・通信業","0.0850%"
"2022/08/31","セコム","9735","サービス業","0.4611%"
